STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
13900,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13900.00,32247,4599,16.634114583333332,172756,32.19,4.65,-5.949999999999998,-56.132075471698116,400875,365325,7125,4.6,11775,4.7,13392.95
13900,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13900.00,1942,1192,158.93333333333334,2955,0.0,500.0,-85.45000000000005,-14.595610214365024,30450,27000,75,505.1,75,508.15,13392.95
13950,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE13950.00,8785,-1874,-17.581386621634298,35096,33.46,4.15,-4.85,-53.88888888888889,325125,134475,4275,4.15,900,4.2,13392.95
13950,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE13950.00,231,-34,-12.830188679245285,114,56.32,562.4,-77.80000000000007,-12.152452358637936,28950,20850,75,552.2,75,556.55,13392.95
14000,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE14000.00,73480,14014,23.566407695153533,244473,35.06,3.8,-4.05,-51.59235668789809,999150,468825,59775,3.8,29325,3.85,13392.95
14000,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE14000.00,855,-178,-17.231364956437563,718,47.89,602.3,-82.70000000000005,-12.072992700729936,31425,22050,450,604.55,75,608.7,13392.95
14050,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE14050.00,4166,-2904,-41.07496463932107,17968,36.64,3.55,-3.1500000000000004,-47.014925373134325,382275,118500,975,3.45,600,3.55,13392.95
14050,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE14050.00,72,0,0.0,7,0.0,722.3,-11.200000000000044,-1.5269256987048458,24825,16800,75,651.0,900,654.9,13392.95
14100,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE14100.00,32279,1905,6.2718114176598405,150397,37.85,3.2,-2.8,-46.66666666666666,1002675,185775,5475,3.2,7725,3.25,13392.95
14100,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE14100.00,170,-4,-2.2988505747126435,21,79.71,849.6,79.35000000000002,10.301850048685496,27450,16350,900,704.75,75,707.85,13392.95
14150,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE14150.00,2896,-1465,-33.59321256592525,11554,39.0,2.9,-2.2,-43.13725490196078,392400,85875,2850,2.85,1275,2.95,13392.95
14150,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE14150.00,66,-9,-12.0,37,80.48,893.75,68.25,8.267716535433072,19350,13275,450,750.1,525,754.45,13392.95
14200,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE14200.00,20212,-5814,-22.339199262276182,89453,40.34,2.65,-1.8000000000000005,-40.44943820224721,786600,157050,11100,2.6,6375,2.65,13392.95
14200,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE14200.00,146,-4,-2.6666666666666665,29,72.96,865.75,-20.79999999999995,-2.3461733686763244,26400,19125,75,801.55,75,812.05,13392.95
10150,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE10150.00,1,0,0.0,0,0.0,0.0,0.0,0.0,8625,8625,1725,3174.65,1725,3316.65,13392.95
10150,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE10150.00,2386,425,21.67261601223865,4671,129.55,0.7,0.1499999999999999,27.272727272727256,84000,46350,1725,0.65,4950,0.8,13392.95
10200,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE10200.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8100,8100,1725,2704.85,1725,3389.45,13392.95
10200,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE10200.00,3178,167,5.546330122882763,1982,128.93,0.8,-0.04999999999999993,-5.882352941176463,163425,52875,1875,0.8,4125,0.9,13392.95
10250,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE10250.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8100,8100,1725,2659.1,1725,3336.75,13392.95
10250,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE10250.00,6,0,0.0,0,0.0,0.0,0.0,0.0,20925,12075,75,0.65,75,1.4,13392.95
10300,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE10300.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8100,8100,1725,2599.4,1725,3296.0,13392.95
10300,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE10300.00,98,8,8.888888888888891,3125,126.6,0.9,0.45,100.0,46725,34800,450,0.8,75,0.85,13392.95
10350,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE10350.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8100,8100,1725,2561.6,1725,3460.7,13392.95
